Price Per Night,Currency
14600,BTN
6200,BTN
6900,BTN
6700,BTN
11000,BTN
7700,BTN
11400,BTN
10000,BTN
6300,BTN
8200,BTN
21200,BTN
13100,BTN
6300,BTN
14500,BTN
7100,BTN
6300,BTN
11800,BTN
9600,BTN
8900,BTN
7300,BTN
11100,BTN
8300,BTN
13800,BTN
10000,BTN
13300,BTN
13700,BTN
6300,BTN
7400,BTN
12600,BTN
12700,BTN
8600,BTN
5900,BTN
7300,BTN
8000,BTN
5700,BTN
9400,BTN
12300,BTN
12100,BTN
6600,BTN
12000,BTN
12000,BTN
8900,BTN
8200,BTN
5500,BTN
12600,BTN
14400,BTN
1800,BTN
12600,BTN
13400,BTN
12100,BTN
12500,BTN
12400,BTN
2000,BTN
10600,BTN
14100,BTN
14200,BTN
10100,BTN
13200,BTN
2000,BTN
10900,BTN
6900,BTN
10200,BTN
7200,BTN
4800,BTN
13000,BTN
6600,BTN
13000,BTN
11900,BTN
8400,BTN
6700,BTN
10700,BTN
2000,BTN
6600,BTN
3600,BTN
7200,BTN
11200,BTN
8800,BTN
2000,BTN
8200,BTN
6300,BTN
5500,BTN
6400,BTN
7500,BTN
18700,BTN
2100,BTN
8900,BTN
10400,BTN
13900,BTN
7000,BTN
13500,BTN
13300,BTN
9600,BTN
12200,BTN
9800,BTN
7600,BTN
6400,BTN
8200,BTN
2200,BTN
13400,BTN
6100,BTN
3400,BTN
6600,BTN
5600,BTN
13600,BTN
8000,BTN
11600,BTN
12100,BTN
9400,BTN
13700,BTN
12700,BTN
13100,BTN
7700,BTN
14900,BTN
11600,BTN
7200,BTN
9600,BTN
5000,BTN
6900,BTN
8400,BTN
13900,BTN
2300,BTN
10900,BTN
14100,BTN
2500,BTN
8700,BTN
12300,BTN
14200,BTN
1800,BTN
7000,BTN
14700,BTN
8000,BTN
11300,BTN
6800,BTN
9100,BTN
6000,BTN
1700,BTN
7100,BTN
14300,BTN
5600,BTN
13500,BTN
9200,BTN
6900,BTN
2900,BTN
7800,BTN
4300,BTN
6100,BTN
13400,BTN
9200,BTN
14200,BTN
14300,BTN
1900,BTN
12000,BTN
13500,BTN
4400,BTN
8200,BTN
6500,BTN
13400,BTN
8700,BTN
7700,BTN
12200,BTN
8600,BTN
6500,BTN
14700,BTN
12400,BTN
3000,BTN
11500,BTN
14100,BTN
7800,BTN
1600,BTN
7200,BTN
11200,BTN
7200,BTN
11600,BTN
6600,BTN
14300,BTN
10300,BTN
7900,BTN
14700,BTN
3200,BTN
6800,BTN
3600,BTN
3800,BTN
6200,BTN
7800,BTN
5300,BTN
6300,BTN
3700,BTN
2900,BTN
11900,BTN
8000,BTN
11000,BTN
10800,BTN
6500,BTN
9200,BTN
1500,BTN
8200,BTN
2400,BTN
8400,BTN
9400,BTN
3200,BTN
